Date,Valeur_des_transactions,Capitalisation_Actions,Capitalisation_Obligations,BRVM_10,BRVM_Composite,Taux_BRVM_10,BRVM_PRESTIGE
21/07/2026 - 00:00,1 792 414 756,18 176 532 979 512,13 024 779 233 681,"224,24","471,83","-0,44%","174,15"
20/07/2026 - 00:00,1 137 216 692,18 239 810 500 726,13 026 340 464 893,"225,24","473,48","-1,08%","174,61"
17/07/2026 - 00:00,1 329 805 279,18 434 435 546 891,13 030 736 812 993,"227,70","478,53","-0,28%","175,04"
16/07/2026 - 00:00,4 176 672 444,18 488 207 038 541,13 044 827 500 693,"228,34","479,92","-0,27%","175,23"
15/07/2026 - 00:00,2 969 532 392,18 538 334 813 166,13 045 445 947 713,"228,95","481,23","+0,53%","174,87"
13/07/2026 - 00:00,1 725 590 456,18 328 595 438 556,13 043 082 708 042,"225,66","475,78","+0,29%","176,67"
10/07/2026 - 00:00,1 846 902 067,18 295 340 118 318,13 098 864 846 552,"225,00","474,92","+1,28%","177,91"
08/07/2026 - 00:00,2 688 858 168,18 124 551 839 492,13 129 943 497 844,"222,20","470,48","+2,05%","178,23"
07/07/2026 - 00:00,4 015 759 703,17 870 513 044 001,13 130 694 186 934,"217,73","463,89","+0,49%","176,56"
06/07/2026 - 00:00,1 441 059 625,17 728 745 087 300,13 145 675 452 934,"216,67","460,21","+0,24%","175,74"
03/07/2026 - 00:00,12 497 687 022,17 709 266 757 629,13 146 939 269 134,"216,15","459,70","+0,00%","176,37"
01/07/2026 - 00:00,2 027 864 255,17 623 550 999 766,13 142 391 848 134,"214,62","457,48","+1,02%","176,14"
29/06/2026 - 00:00,1 994 199 453,17 337 103 292 246,13 106 144 986 604,"211,11","450,04","-0,03%","174,48"
26/06/2026 - 00:00,2 214 565 206,17 328 543 437 314,13 108 040 185 104,"211,17","449,82","+0,90%","175,14"
25/06/2026 - 00:00,1 688 262 348,17 203 488 333 454,13 112 527 742 554,"209,29","446,57","+1,08%","174,08"
24/06/2026 - 00:00,2 853 514 443,17 031 525 841 419,13 112 295 492 454,"207,05","442,11","-0,37%","172,38"
23/06/2026 - 00:00,3 372 828 871,17 098 629 029 605,13 119 537 659 358,"207,82","443,85","-0,35%","173,64"
22/06/2026 - 00:00,2 322 080 338,17 154 715 915 645,13 127 710 677 143,"208,56","445,31","+0,47%","174,41"
19/06/2026 - 00:00,2 838 690 502,17 060 666 160 153,13 136 001 649 358,"207,59","442,87","+1,29%","173,41"
18/06/2026 - 00:00,1 780 663 592,16 899 280 095 043,13 136 001 649 358,"204,94","438,68","+0,35%","170,70"
17/06/2026 - 00:00,2 675 149 654,16 815 589 569 119,13 155 080 830 558,"204,23","436,51","+0,29%","170,41"
16/06/2026 - 00:00,1 557 243 993,16 777 801 099 581,13 156 325 941 558,"203,64","435,52","-0,21%","170,56"
15/06/2026 - 00:00,1 772 765 842,16 818 293 459 209,13 170 674 811 558,"204,07","436,58","+0,19%","171,89"
12/06/2026 - 00:00,1 959 664 174,16 819 278 896 234,13 169 178 604 558,"203,69","436,60","-0,07%","171,72"
11/06/2026 - 00:00,1 457 611 938,16 834 950 229 141,13 175 645 474 558,"203,84","437,01","+0,29%","171,69"
10/06/2026 - 00:00,4 363 500 654,16 781 083 085 359,12 652 614 890 758,"203,25","435,61","-0,37%","171,50"
09/06/2026 - 00:00,2 186 919 090,16 798 480 140 221,12 036 412 536 158,"204,01","436,06","-0,38%","171,06"
08/06/2026 - 00:00,1 396 346 576,16 822 446 159 621,12 029 245 870 158,"204,78","436,68","-0,29%","170,97"
05/06/2026 - 00:00,2 049 215 269,16 844 064 292 177,12 029 245 870 158,"205,37","437,24","-0,83%","170,97"
04/06/2026 - 00:00,2 409 567 338,16 955 317 656 599,12 029 245 870 158,"207,09","440,13","+1,08%","172,35"
03/06/2026 - 00:00,2 441 533 186,16 772 200 591 162,12 041 950 870 158,"204,87","435,38","+1,97%","170,54"
01/06/2026 - 00:00,1 280 236 405,16 410 800 941 390,12 046 226 879 458,"200,18","426,00","+0,32%","166,95"
29/05/2026 - 00:00,1 520 184 328,16 393 046 431 410,12 039 134 868 258,"199,55","425,54","+0,59%","166,09"
28/05/2026 - 00:00,1 847 554 589,16 287 892 042 790,12 039 134 868 258,"198,37","422,81","+0,53%","164,80"
26/05/2026 - 00:00,917 703 044,16 192 439 838 803,12 040 183 342 948,"197,33","420,33","-0,14%","163,73"
22/05/2026 - 00:00,3 170 754 614,16 218 856 585 415,12 040 183 342 948,"197,61","421,02","+0,03%","164,10"
20/05/2026 - 00:00,1 697 184 055,16 109 021 012 940,12 044 826 981 548,"196,75","418,16","+0,18%","162,78"
19/05/2026 - 00:00,1 620 996 133,16 028 165 621 700,12 040 993 262 180,"196,40","416,07","+0,32%","162,14"
18/05/2026 - 00:00,2 553 000 841,15 963 962 800 155,12 046 152 677 580,"195,78","414,40","+0,63%","162,02"
15/05/2026 - 00:00,1 733 487 131,15 896 200 077 998,12 287 045 625 492,"194,55","412,64","+0,70%","161,19"
13/05/2026 - 00:00,1 816 094 768,15 778 815 435 415,12 315 236 825 492,"193,20","409,59","+0,54%","159,57"
12/05/2026 - 00:00,1 889 642 677,15 650 031 782 655,12 322 203 391 592,"192,16","406,25","+0,31%","159,46"
11/05/2026 - 00:00,1 818 423 516,15 630 710 823 840,12 322 204 091 592,"191,57","405,75","+0,11%","158,42"
08/05/2026 - 00:00,5 185 542 092,15 586 185 296 705,12 325 280 488 886,"191,36","404,59","+0,49%","158,71"
07/05/2026 - 00:00,1 447 759 777,15 542 578 586 990,12 324 005 521 750,"190,43","403,46","+0,04%","157,66"
06/05/2026 - 00:00,1 503 802 857,15 537 671 741 403,12 330 986 543 850,"190,35","403,33","+0,50%","157,39"
05/05/2026 - 00:00,1 639 305 888,15 470 975 325 863,12 220 425 643 410,"189,40","401,60","-0,93%","156,30"
04/05/2026 - 00:00,2 141 543 659,15 625 045 609 805,12 146 129 563 056,"191,18","405,60","+0,19%","157,09"
30/04/2026 - 00:00,1 354 930 373,15 560 702 904 598,12 147 159 900 456,"190,82","403,93","+0,70%","158,27"
29/04/2026 - 00:00,2 057 012 053,15 539 517 757 258,12 038 709 900 456,"189,49","403,38","-0,43%","156,56"
27/04/2026 - 00:00,1 279 253 023,15 501 147 911 833,12 001 249 712 457,"188,77","402,38","-0,55%","156,73"
24/04/2026 - 00:00,1 362 268 368,15 509 021 138 538,12 011 024 292 657,"189,81","402,59","+0,17%","158,22"
23/04/2026 - 00:00,1 675 420 235,15 499 365 395 140,12 031 613 716 057,"189,49","402,00","+0,11%","157,43"
21/04/2026 - 00:00,3 068 211 317,15 519 675 498 528,11 906 883 844 511,"189,44","402,52","+1,02%","157,52"
17/04/2026 - 00:00,2 919 883 424,15 384 908 146 062,11 901 884 141 881,"187,37","399,03","+0,58%","156,34"
16/04/2026 - 00:00,5 261 583 963,15 319 235 009 121,11 919 524 656 281,"186,29","397,33","-1,15%","154,72"
15/04/2026 - 00:00,1 624 668 808,15 488 278 151 470,11 920 745 609 181,"188,45","401,71","-0,25%","156,41"
14/04/2026 - 00:00,3 279 119 968,15 506 343 564 364,11 921 145 609 581,"188,93","402,18","-0,70%","156,56"
13/04/2026 - 00:00,7 914 105 552,15 578 099 926 228,11 920 480 984 581,"190,27","404,04","-0,74%","156,87"
10/04/2026 - 00:00,2 652 736 617,15 668 243 221 673,11 932 031 870 857,"191,68","406,38","-0,14%","158,70"
09/04/2026 - 00:00,7 739 217 247,15 690 176 251 408,11 936 563 045 757,"191,95","406,95","+0,32%","158,77"
08/04/2026 - 00:00,1 448 964 199,15 670 163 136 308,11 960 741 738 046,"191,33","406,43","-0,46%","157,71"
07/04/2026 - 00:00,2 621 032 655,15 782 167 480 463,11 953 528 400 836,"192,21","409,33","+0,09%","158,95"
03/04/2026 - 00:00,641 076 642,15 824 291 890 318,11 976 113 439 111,"192,04","410,43","+0,07%","158,94"
02/04/2026 - 00:00,998 182 484,15 793 082 210 021,11 956 863 439 111,"191,90","409,62","+0,21%","159,56"
31/03/2026 - 00:00,2 493 166 629,15 740 560 665 731,11 970 832 302 925,"191,47","408,25","+1,31%","160,15"
30/03/2026 - 00:00,1 826 419 569,15 551 971 688 949,11 969 712 386 645,"189,00","403,36","-1,16%","159,02"
27/03/2026 - 00:00,5 473 018 009,15 660 629 773 994,12 018 494 777 410,"191,21","406,18","+1,07%","160,80"
26/03/2026 - 00:00,920 551 144,15 494 609 628 434,12 017 068 692 390,"189,18","401,87","+0,67%","158,75"
25/03/2026 - 00:00,29 997 672 495,15 420 618 453 449,12 042 600 271 140,"187,92","399,96","-0,83%","157,64"
23/03/2026 - 00:00,1 747 616 555,15 537 453 966 689,11 846 879 291 840,"189,53","402,99","-1,19%","158,84"
19/03/2026 - 00:00,5 398 911 654,,11 874 643 165 169,"191,81","408,62","-0,83%",
18/03/2026 - 00:00,3 450 268 992,15 869 257 753 844,11 889 565 150 619,"193,42","411,59","+0,25%","163,01"
13/03/2026 - 00:00,7 079 072 934,15 950 757 110 329,11 911 903 505 575,"193,05","413,71","-0,80%","161,56"
